uri,cid,author_did,author_handle,created_at,text,link
at://did:plc:4yziotwtkrdmvzixwjtl5ywl/app.bsky.feed.post/3m5zqvocvlk26,bafyreihinq7yccbny6xpsy45a4wgv2stdej35zmh5aexsu266d2brzf6eu,did:plc:4yziotwtkrdmvzixwjtl5ywl,shoguncheney.bsky.social,2025-11-20T02:47:20.767Z,"But also this is just classic DARVO bullshit. You're accusing me, *a literal Jew*, of being antisemitic for calling *you* out on parroting OLD antisemitic tropes! That is abuser logic!",https://bsky.app/profile/
at://did:plc:dao3msooyfdzmo2pbtbfdpkm/app.bsky.feed.post/3m5zqnyhtik2y,bafyreicqqk3siqdr5alujuweea4kyas23auiyeo5i6ohqqrth3tn36uthi,did:plc:dao3msooyfdzmo2pbtbfdpkm,valkyrieladyk.bsky.social,2025-11-20T02:43:02.979Z,"""Misandry"" is not a real thing.

It's the gender equivalent of ""anti-white racism"" or ""heterophobia.""

It's an attempt to invert real world power structures and cast marginalized groups as oppressing their oppressors.

It's sociopolitical DARVO.

It's also misogyny.",https://bsky.app/profile/
at://did:plc:yy76zfdybuugy7mgxfwiwv4i/app.bsky.feed.post/3m5zo7w3fv22v,bafyreidg4rsq2wutbtldr7fvzirbw4co4upe473ftspqef6sz2wmlcjuge,did:plc:yy76zfdybuugy7mgxfwiwv4i,heyacordeiro.bsky.social,2025-11-20T01:59:23.228Z,I’m pretty sure he copies and pastes that second shot onto whatever daily DARVO bullshit he’s slinging,https://bsky.app/profile/
at://did:plc:6ndw6gynoynzhu2cff7hz6ym/app.bsky.feed.post/3m5zlrizvac22,bafyreigre6s34zwojjubx2ejfjhk62j4mhtt3365imqg3wketj4upcivhq,did:plc:6ndw6gynoynzhu2cff7hz6ym,unabla.bsky.social,2025-11-20T01:15:32.301Z,"Members of the financial elite and their servants like Hanson do decry left-wing rivals as ""elitist"" in their DARVO style but they don't have a point. The wedge they seek to drive between educated and uneducated workers is just because propaganda works better on uneducated people.",https://bsky.app/profile/
at://did:plc:5ueil43ubjzmohs4h2wizxfo/app.bsky.feed.post/3m5zl2gdapk2x,bafyreidzi2fy6srzfcwrwpiihbglhl2teetx7f2o43gozmlvb4ea56gcey,did:plc:5ueil43ubjzmohs4h2wizxfo,ariemoyal.com,2025-11-20T01:02:37.595Z,"The Box is also an expert abuser.

It uses psychological violence to maintain control:

• Projection: It calls us messy & disorderly while creating ecological & social chaos
• Gaslighting: ""You're too sensitive"" ""That's not what happened""
• DARVO: It Denies, Attacks, & Reverses Victim and Offender.",https://bsky.app/profile/
at://did:plc:iinxcqqtv6balxhcm3wymfm7/app.bsky.feed.post/3m5zhwyo47c2w,bafyreiaeo7oqwxjartgvl7fbmybg3gffgxeba3wnnqdmcbgfbmvz2xhvje,did:plc:iinxcqqtv6balxhcm3wymfm7,dani-kml.bsky.social,2025-11-20T00:07:01.497Z,"Before I had reason to read about it myself, I had no idea it was common or how often people, including women, end up believing or even backing the perpetrator’s DARVO narrative.

But wow, I didn’t expect it to be nearly every case you came across in that context.",https://bsky.app/profile/
at://did:plc:cwerojw3av7mhlal35bw3nl6/app.bsky.feed.post/3m5zhqh52ok2j,bafyreibavbe7wogg3qx7ebfp4oy7gt7fxhaevepkoits2kemcvbp5niu3a,did:plc:cwerojw3av7mhlal35bw3nl6,kafsofit.bsky.social,2025-11-20T00:03:21.786Z,"Raising concerns about transphobia in spaces where cis people and specifically cis women are the only ones guiding the complaint process seems to always end up in DARVO and compounding harms towards trans people.

The way we get dismissed and then misconstrued as aggressors is such a common pattern.",https://bsky.app/profile/
at://did:plc:h2h6unwdc3ncsoput6d3bygy/app.bsky.feed.post/3m625frscad2m,bafyreidgbicf24qqubcup6c4uczynux6mkdvpfbnlmaycj5yzaosem7ay4,did:plc:h2h6unwdc3ncsoput6d3bygy,papaesoco.bsky.social,2025-11-20T06:31:04.691Z,"insults from the malignant narcissist now occupying the Oval Office. In fact, journalists should treat them as badges of honor.",https://bsky.app/profile/
at://did:plc:fcyxpyxcfrn7o2osp6tdlxup/app.bsky.feed.post/3m5zzjue6vs2b,bafyreift67zlwaptvfelinubjedttxedi7blaerchmrltl4htj7gycvrza,did:plc:fcyxpyxcfrn7o2osp6tdlxup,dozo27.bsky.social,2025-11-20T05:21:48.123Z,"Donald is an insecure narcissist who believes everyone is subordinate to him and should treat him with deferential subservience. It's not the job of reporters to be subordinate, as it's not the mission of news outlets to misrepresent facts or fail to report stories that hurt his feelings
Mary Trump",https://bsky.app/profile/
at://did:plc:pe7lpzeydowxgboqjdswnmv2/app.bsky.feed.post/3m5zzgbsg7s2x,bafyreidgxaypdmkoewh4bynwahwg65heydstna57bv6rplx53576o6f5mm,did:plc:pe7lpzeydowxgboqjdswnmv2,co201719.bsky.social,2025-11-20T05:19:48.004Z,What a Narcissist!! He truly needs help!!,https://bsky.app/profile/
